Labels,Ge-Sn-760-ex,
Type,Excitation Scan,
Comment,,
Start,280.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,760.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

689.00,4.81552539E+4,
690.00,5.05473203E+4,
691.00,5.34600586E+4,
692.00,5.33551758E+4,
693.00,4.76303320E+4,
694.00,4.61173555E+4,
695.00,4.25042656E+4,
696.00,4.09401367E+4,
697.00,4.18275273E+4,
698.00,3.79825820E+4,
699.00,3.85432188E+4,
700.00,3.62644883E+4,
701.00,3.50122500E+4,
702.00,3.27950313E+4,
703.00,3.29219102E+4,
704.00,2.93427246E+4,
705.00,2.82683125E+4,
706.00,2.68073652E+4,
707.00,2.63862461E+4,
708.00,2.38291699E+4,
709.00,2.43447930E+4,
710.00,2.31281055E+4,
711.00,2.09209043E+4,
712.00,2.08850508E+4,
713.00,1.99586270E+4,
714.00,1.83822734E+4,
715.00,1.68225645E+4,
716.00,1.66140801E+4,
717.00,1.67893184E+4,
718.00,1.69099375E+4,
719.00,1.17940137E+4,
720.00,1.23017949E+4,
721.00,1.19247637E+4,
722.00,1.22963594E+4,
723.00,1.09266240E+4,
724.00,1.31429102E+4,
725.00,9.20580176E+3,
726.00,9.24414648E+3,
727.00,9.16042480E+3,
728.00,9.04345703E+3,
729.00,7.60820117E+3,
730.00,4.96641797E+3,
731.00,7.27812207E+3,
732.00,8.56348535E+3,
733.00,9.00915527E+3,
734.00,7.42882422E+3,
735.00,5.95828760E+3,
736.00,6.68437744E+3,
737.00,6.27666748E+3,
738.00,6.62261865E+3,
739.00,7.96479980E+3,
740.00,6.67866309E+3,
741.00,7.60182178E+3,
742.00,8.17925586E+3,
743.00,7.36513037E+3,
744.00,8.61035156E+3,
745.00,9.06880371E+3,
746.00,9.44958398E+3,
747.00,8.41219238E+3,
748.00,1.52543936E+4,
749.00,1.80712793E+4,
750.00,3.43319375E+4,
