Labels,KONGBAI-4,
Type,Emission Scan,
Comment,,
Start,435.00,
Stop,830.00,
Step,0.500,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.19999765,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.9999765,
Detector,Det 1,

779.500,-3.62989655E+1,
780.00,3.66319008E+1,
780.500,-1.11507599E+2,
781.00,-7.48547592E+1,
781.500,-1.13918121E+2,
782.00,0.00000000E+0,
782.500,-3.88592834E+1,
783.00,-7.86912079E+1,
783.500,-1.19482193E+2,
784.00,-1.19942070E+2,
784.500,-8.11547623E+1,
785.00,-8.18909225E+1,
785.500,-8.27948074E+1,
786.00,0.00000000E+0,
786.500,-8.40863190E+1,
787.00,0.00000000E+0,
787.500,0.00000000E+0,
788.00,-4.37253990E+1,
788.500,-8.80905685E+1,
789.00,-8.90306396E+1,
789.500,-1.35251633E+2,
790.00,-4.53088875E+1,
790.500,-1.38191254E+2,
791.00,-4.65834236E+1,
791.500,0.00000000E+0,
792.00,-9.51947098E+1,
792.500,-4.79124031E+1,
793.00,-1.45211075E+2,
793.500,0.00000000E+0,
794.00,-4.93512955E+1,
794.500,-5.02132835E+1,
795.00,0.00000000E+0,
795.500,-1.52223892E+2,
796.00,-1.03112106E+2,
796.500,-1.04278160E+2,
797.00,-1.04878143E+2,
797.500,-1.06434113E+2,
798.00,-1.07236649E+2,
798.500,-1.08605019E+2,
799.00,-1.63353897E+2,
799.500,5.53567390E+1,
800.00,-1.11860596E+2,
800.500,-5.63909798E+1,
801.00,-1.14576248E+2,
801.500,-1.72835312E+2,
802.00,0.00000000E+0,
802.500,-1.76906021E+2,
803.00,5.95612793E+1,
803.500,-6.00129814E+1,
804.00,-1.21256035E+2,
804.500,-1.22263023E+2,
805.00,-1.23493889E+2,
805.500,-1.87580292E+2,
806.00,-1.26122307E+2,
806.500,-1.91898453E+2,
807.00,-1.93668289E+2,
807.500,2.60428101E+2,
808.00,-1.31750488E+2,
808.500,-6.63145828E+1,
809.00,-6.68961563E+1,
809.500,-6.77767715E+1,
810.00,-6.83395157E+1,
810.500,1.39049881E+2,
811.00,0.00000000E+0,
811.500,-7.09146423E+1,
812.00,-7.16945724E+1,
812.500,7.26960526E+1,
813.00,0.00000000E+0,
813.500,-2.23947159E+2,
814.00,-2.27570770E+2,
814.500,-1.53876144E+2,
815.00,0.00000000E+0,
815.500,-1.57669159E+2,
816.00,-1.60511627E+2,
816.500,-1.62474609E+2,
817.00,-2.47163437E+2,
817.500,-2.51623016E+2,
818.00,-2.56431091E+2,
818.500,-1.73747818E+2,
819.00,-1.75814972E+2,
819.500,-8.97316360E+1,
820.00,-1.81438782E+2,
820.500,-9.29656143E+1,
821.00,-2.83534637E+2,
821.500,-2.89088135E+2,
822.00,0.00000000E+0,
822.500,-1.00672623E+2,
823.00,-2.04590988E+2,
823.500,-3.14632111E+2,
824.00,0.00000000E+0,
824.500,-3.30825378E+2,
825.00,-2.26035385E+2,
825.500,-1.15912239E+2,
826.00,0.00000000E+0,
826.500,-3.65578308E+2,
827.00,1.25496536E+2,
827.500,-3.87387634E+2,
828.00,-2.65638580E+2,
828.500,-2.73711151E+2,
829.00,-2.81936035E+2,
829.500,-2.91261993E+2,
830.00,4.51520782E+2,
