h3bo3-fitted-36.51%
  QY = 36.51%
Labels,h3bo3,KONGBAI-3,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,830.00,830.00,
Step,0.500,0.500,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.20,0.30,
Lamp,Xenon,Xenon,
Temp,0.00,0.00,
Scan Polariser,None,None,
Scan Slit,0.23999718,0.23999718,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2999973,2.2999973,
Detector,Det 1,Det 1,

547.00,1.82048798E+1,2.49423542E+1,
547.500,1.25031576E+1,2.33722038E+1,
548.00,2.00684052E+1,2.73177319E+1,
548.500,1.34145918E+1,2.24391537E+1,
549.00,1.77288055E+1,3.42625465E+1,
549.500,1.69440403E+1,2.53721199E+1,
550.00,1.53473949E+1,3.06923618E+1,
550.500,1.70240593E+1,2.95320110E+1,
551.00,1.11403008E+1,2.68601665E+1,
551.500,1.55512924E+1,2.98851357E+1,
552.00,1.21192474E+1,3.00987587E+1,
552.500,6.93669558E+0,2.84725437E+1,
553.00,9.61734390E+0,2.85186138E+1,
553.500,1.31658268E+1,2.22302017E+1,
554.00,1.23514290E+1,2.18245697E+1,
554.500,1.69681206E+1,2.36747093E+1,
555.00,1.34293308E+1,2.74347000E+1,
555.500,1.07906494E+1,3.42166862E+1,
556.00,1.52532063E+1,1.98078346E+1,
556.500,9.07731342E+0,2.35370064E+1,
557.00,1.55275841E+1,2.36386795E+1,
557.500,1.46065197E+1,2.85873585E+1,
558.00,1.19353189E+1,2.50779800E+1,
558.500,2.03599300E+1,2.57633648E+1,
559.00,1.01441164E+1,2.35211143E+1,
559.500,7.45508480E+0,1.74321880E+1,
560.00,1.21682663E+1,2.74605999E+1,
560.500,1.31259737E+1,2.62307587E+1,
561.00,1.32181215E+1,1.95015793E+1,
561.500,1.70753517E+1,2.66159821E+1,
562.00,1.14590244E+1,2.15332565E+1,
562.500,1.15161676E+1,2.23925877E+1,
563.00,1.63609695E+1,1.73352013E+1,
563.500,9.68327713E+0,2.50774765E+1,
564.00,1.26280079E+1,2.27040520E+1,
564.500,9.74354553E+0,2.75005341E+1,
565.00,1.17602930E+1,1.24235249E+1,
565.500,1.86917801E+1,2.17042446E+1,
566.00,1.18545485E+1,2.78628922E+1,
566.500,4.98731756E+0,1.59295101E+1,
567.00,1.09909945E+1,1.72813892E+1,
567.500,8.06874466E+0,2.28200703E+1,
568.00,1.10933075E+1,1.68167992E+1,
568.500,1.11310120E+1,2.64167671E+1,
569.00,9.19467640E+0,1.70113926E+1,
569.500,8.19936180E+0,1.64802723E+1,
570.00,1.13739071E+1,1.71965809E+1,
570.500,1.34974356E+1,1.65858631E+1,
571.00,1.87299652E+1,1.95246811E+1,
571.500,8.39273834E+0,1.88846111E+1,
572.00,2.10690856E+0,2.10232430E+1,
572.500,6.34488630E+0,1.76228848E+1,
573.00,7.43433380E+0,2.06007767E+1,
573.500,1.06955423E+1,1.71910725E+1,
574.00,1.29319019E+1,2.35991688E+1,
574.500,1.30073004E+1,2.60500050E+1,
575.00,5.42627096E+0,1.73905411E+1,
575.500,4.36406660E+0,2.33229103E+1,
576.00,8.79207516E+0,1.16817064E+1,
576.500,4.38973522E+0,1.98360291E+1,
577.00,6.62889719E+0,1.69781857E+1,
577.500,4.46456289E+0,2.45041904E+1,
578.00,6.70416784E+0,2.01190929E+1,
578.500,9.03792286E+0,1.49862738E+1,
579.00,9.02376938E+0,2.32863770E+1,
579.500,1.36010771E+1,1.36298819E+1,
580.00,8.02578926E+0,1.67524300E+1,
580.500,5.71954918E+0,2.75704956E+1,
581.00,9.25742722E+0,1.76998482E+1,
581.500,1.39860287E+1,2.31730843E+1,
582.00,3.49701023E+0,1.55735693E+1,
582.500,4.69196320E+0,1.48803310E+1,
583.00,1.18376327E+0,1.88298645E+1,
583.500,1.18973541E+1,1.89861088E+1,
584.00,5.98182869E+0,2.14418430E+1,
584.500,1.31807117E+1,1.03724298E+1,
585.00,3.60196853E+0,1.92727833E+1,
585.500,8.49603653E+0,1.29533787E+1,
586.00,4.86562347E+0,2.35142288E+1,
586.500,1.35039597E+1,1.62584686E+1,
587.00,-1.22866952E+0,1.47216673E+1,
587.500,4.93191671E+0,1.65081100E+1,
588.00,7.42573261E+0,1.15807142E+1,
588.500,7.50118828E+0,8.32639408E+0,
589.00,2.50328612E+0,2.09175777E+1,
589.500,1.00961390E+1,1.34314108E+1,
590.00,7.63275146E+0,1.27023487E+1,
590.500,1.02375145E+1,8.50916672E+0,
591.00,3.84811831E+0,8.51640224E+0,
591.500,7.70655727E+0,1.96855564E+1,
592.00,1.28938589E+1,1.12586002E+1,
592.500,1.29987299E+0,1.21195364E+1,
593.00,0.00000000E+0,1.13361874E+1,
593.500,2.62669396E+0,1.58971710E+1,
594.00,1.32666292E+1,1.32612362E+1,
594.500,1.33198528E+1,1.59552326E+1,
595.00,8.01311302E+0,1.69037228E+1,
595.500,4.03885603E+0,1.43030682E+1,
596.00,9.40463638E+0,1.80207443E+1,
596.500,6.76646566E+0,1.17361660E+1,
597.00,9.56554413E+0,9.97606659E+0,
597.500,1.36752725E+0,1.09836168E+1,
598.00,8.26335526E+0,1.83813934E+1,
598.500,2.77070904E+0,1.10942125E+1,
599.00,6.96355534E+0,8.36088085E+0,
599.500,7.02247667E+0,1.69015884E+1,
600.00,5.64544201E+0,1.22493830E+1,
600.500,5.67077637E+0,6.60881948E+0,
601.00,2.84273505E+0,1.42711077E+1,
601.500,1.42879128E+0,1.43089104E+1,
602.00,1.01230354E+1,1.25302391E+1,
602.500,2.89748383E+0,3.86157513E+0,
603.00,2.90169978E+0,1.16571732E+1,
603.500,2.93161869E+0,6.87052536E+0,
604.00,1.47600591E+0,1.76977501E+1,
604.500,8.91913986E+0,6.92036295E+0,
605.00,4.46151114E+0,1.58809452E+1,
605.500,4.48802137E+0,1.50146608E+1,
606.00,3.01952982E+0,1.21188431E+1,
606.500,0.00000000E+0,5.07537413E+0,
607.00,4.59940243E+0,1.22654934E+1,
607.500,6.15761614E+0,1.12881536E+1,
608.00,-1.55115712E+0,6.17541838E+0,
608.500,1.56015193E+0,1.04310751E+1,
609.00,3.13713598E+0,1.35485945E+1,
609.500,4.73926306E+0,1.05197649E+1,
610.00,6.34015894E+0,1.58103828E+1,
610.500,4.79329109E+0,1.27555389E+1,
611.00,-1.60254288E+0,1.06766424E+1,
611.500,4.85437107E+0,6.48243761E+0,
612.00,-3.25087738E+0,1.40971947E+1,
612.500,6.55894518E+0,1.41925325E+1,
613.00,4.96228266E+0,5.49631214E+0,
613.500,0.00000000E+0,8.85881710E+0,
614.00,3.33836794E+0,6.66831112E+0,
614.500,1.67146587E+0,1.00764685E+1,
615.00,0.00000000E+0,1.01314173E+1,
615.500,3.40463758E+0,2.04440384E+1,
616.00,0.00000000E+0,1.14899616E+1,
616.500,-3.44434786E+0,9.17732048E+0,
617.00,0.00000000E+0,4.62481785E+0,
617.500,0.00000000E+0,3.50417972E+0,
618.00,3.52439141E+0,1.64237881E+1,
618.500,1.77525425E+0,1.30351963E+1,
619.00,7.16963005E+0,1.55044670E+1,
619.500,1.44742174E+1,1.07670155E+1,
620.00,0.00000000E+0,1.93577023E+1,
620.500,5.46604347E+0,1.33513384E+1,
621.00,9.19603443E+0,1.34673986E+1,
621.500,3.70425725E+0,2.46152687E+0,
622.00,0.00000000E+0,6.22698164E+0,
622.500,1.12593470E+1,6.23405933E+0,
623.00,1.89456654E+0,7.57355022E+0,
623.500,5.72078943E+0,6.33598614E+0,
624.00,-1.91435385E+0,1.40295143E+1,
624.500,1.93017232E+0,6.45031166E+0,
625.00,0.00000000E+0,6.49760342E+0,
625.500,1.96204245E+0,1.17637529E+1,
626.00,0.00000000E+0,1.45356703E+1,
626.500,1.98703289E+0,5.31191635E+0,
627.00,5.98095608E+0,1.60214348E+1,
627.500,0.00000000E+0,9.42702293E+0,
628.00,6.10525370E+0,1.08263931E+1,
628.500,-2.03712249E+0,2.73056197E+0,
629.00,6.17501736E+0,1.09975586E+1,
629.500,0.00000000E+0,6.92660856E+0,
630.00,-4.17606020E+0,9.78800011E+0,
630.500,-4.22253323E+0,5.62868881E+0,
631.00,4.25568533E+0,1.41666021E+1,
631.500,-2.14694118E+0,1.42613780E+0,
632.00,0.00000000E+0,7.19194126E+0,
632.500,-4.37088108E+0,2.90490961E+0,
633.00,4.37402105E+0,7.29621220E+0,
633.500,4.42744970E+0,5.89006472E+0,
634.00,6.67188644E+0,4.46734142E+0,
634.500,2.24433136E+0,7.51633835E+0,
635.00,0.00000000E+0,7.52931070E+0,
635.500,-4.55875921E+0,7.61336279E+0,
636.00,0.00000000E+0,3.05559707E+0,
636.500,0.00000000E+0,1.54612362E+0,
637.00,7.02227163E+0,1.24374294E+1,
637.500,7.08400869E+0,7.85727882E+0,
638.00,4.72830439E+0,9.47738934E+0,
638.500,7.14725542E+0,0.00000000E+0,
639.00,0.00000000E+0,8.02343178E+0,
639.500,7.30948019E+0,6.49619627E+0,
640.00,2.45882273E+0,8.20093918E+0,
640.500,1.73414993E+1,9.89791393E+0,
641.00,1.24521618E+1,6.68199158E+0,
641.500,-2.51579332E+0,8.41893196E+0,
642.00,0.00000000E+0,3.37294412E+0,
642.500,1.02353439E+1,5.12526226E+0,
643.00,5.16054964E+0,5.15155268E+0,
643.500,2.59910607E+0,1.39013882E+1,
644.00,2.62994313E+0,6.99949503E+0,
644.500,-5.29049492E+0,7.04266977E+0,
645.00,5.35439157E+0,8.91861153E+0,
645.500,0.00000000E+0,7.19654465E+0,
646.00,-2.71949506E+0,0.00000000E+0,
646.500,5.49209499E+0,3.65918207E+0,
647.00,2.76163554E+0,3.70189023E+0,
647.500,0.00000000E+0,9.31102085E+0,
648.00,5.63213301E+0,0.00000000E+0,
648.500,0.00000000E+0,1.89307868E+0,
649.00,-5.73703671E+0,3.84799004E+0,
649.500,0.00000000E+0,9.67174816E+0,
650.00,0.00000000E+0,1.95073605E+0,
650.500,8.86473560E+0,1.37926617E+1,
651.00,2.97875381E+0,7.95700788E+0,
651.500,0.00000000E+0,0.00000000E+0,
652.00,0.00000000E+0,0.00000000E+0,
652.500,6.15690565E+0,8.20027828E+0,
653.00,3.08987188E+0,4.12074518E+0,
653.500,6.24926758E+0,2.08675265E+0,
654.00,6.28734446E+0,4.18990660E+0,
654.500,0.00000000E+0,4.24125099E+0,
655.00,2.90431995E+1,6.45324230E+0,
655.500,3.25594306E+0,0.00000000E+0,
656.00,-3.26991320E+0,6.58257103E+0,
656.500,1.65289993E+1,4.42290068E+0,
657.00,1.33890676E+1,4.46712255E+0,
657.500,2.02816505E+1,1.12933559E+1,
658.00,1.37364912E+1,0.00000000E+0,
658.500,6.92372227E+0,6.92849970E+0,
659.00,1.39723587E+1,0.00000000E+0,
659.500,-3.53204393E+0,9.40925884E+0,
660.00,1.07392845E+1,9.52123165E+0,
660.500,3.61656880E+0,2.40928435E+0,
661.00,7.35733747E+0,-2.44983959E+0,
661.500,1.48044558E+1,1.48500366E+1,
662.00,7.52928352E+0,7.50869179E+0,
662.500,7.66507006E+0,1.02128696E+1,
663.00,2.71762943E+1,7.75684261E+0,
663.500,1.18462620E+1,5.26631165E+0,
664.00,8.00052452E+0,1.33747244E+1,
664.500,2.43678093E+1,-2.71764565E+0,
665.00,1.66105976E+1,1.10591850E+1,
665.500,0.00000000E+0,0.00000000E+0,
666.00,4.26941299E+0,1.42218714E+1,
666.500,1.29926853E+1,-2.88419342E+0,
667.00,0.00000000E+0,8.71997643E+0,
667.500,3.51210365E+1,1.76564636E+1,
668.00,2.23294735E+1,0.00000000E+0,
668.500,2.23392639E+1,8.97574139E+0,
669.00,0.00000000E+0,0.00000000E+0,
669.500,1.34601793E+1,0.00000000E+0,
670.00,2.70348339E+1,-2.99852252E+0,
670.500,1.80021095E+1,1.79818478E+1,
671.00,3.16717224E+1,9.04255867E+0,
671.500,1.35312328E+1,1.20516090E+1,
672.00,2.72269707E+1,9.06630898E+0,
672.500,4.09570236E+1,0.00000000E+0,
673.00,1.35375652E+1,0.00000000E+0,
673.500,2.27088947E+1,3.03232431E+0,
674.00,5.44939575E+1,6.05207682E+0,
674.500,3.18573494E+1,3.03805614E+0,
675.00,1.36931925E+1,6.07493114E+0,
675.500,1.82973423E+1,3.05187440E+0,
676.00,1.37229528E+1,0.00000000E+0,
676.500,3.68411522E+1,0.00000000E+0,
677.00,5.50481720E+1,0.00000000E+0,
677.500,4.13931961E+1,0.00000000E+0,
678.00,3.22832146E+1,0.00000000E+0,
678.500,4.17575836E+1,6.16250229E+0,
679.00,4.16747398E+1,3.08798528E+0,
679.500,2.78886909E+1,6.18420410E+0,
680.00,3.78829994E+1,9.48603725E+0,
680.500,4.75783424E+1,3.15972877E+0,
681.00,2.86423588E+1,0.00000000E+0,
681.500,2.87266693E+1,0.00000000E+0,
682.00,5.27477646E+1,3.18549156E+0,
682.500,5.29268837E+1,3.22009397E+0,
683.00,6.26633377E+1,3.20199871E+0,
683.500,3.88744659E+1,6.44224215E+0,
684.00,4.35759773E+1,-3.23651195E+0,
684.500,7.29385529E+1,-3.25814223E+0,
685.00,4.40367928E+1,3.26336765E+0,
685.500,5.38687286E+1,-3.26181531E+0,
686.00,8.84587250E+1,0.00000000E+0,
686.500,2.47695293E+1,-3.29821968E+0,
687.00,6.44161530E+1,0.00000000E+0,
687.500,5.51617661E+1,0.00000000E+0,
688.00,7.48951416E+1,0.00000000E+0,
688.500,4.02481995E+1,0.00000000E+0,
689.00,6.55798950E+1,-3.36363912E+0,
689.500,6.08517990E+1,1.01414213E+1,
690.00,7.13507614E+1,-3.38308406E+0,
690.500,7.64948730E+1,0.00000000E+0,
691.00,8.77282562E+1,6.82905483E+0,
691.500,4.64595718E+1,6.90370417E+0,
692.00,4.68496857E+1,1.03864765E+1,
692.500,7.80978546E+1,3.48055339E+0,
693.00,1.20771568E+2,7.01459837E+0,
693.500,1.21561760E+2,0.00000000E+0,
694.00,1.27601540E+2,0.00000000E+0,
694.500,1.07018753E+2,-3.57246447E+0,
695.00,1.50888809E+2,0.00000000E+0,
695.500,1.13712700E+2,-3.61978078E+0,
696.00,1.52885010E+2,0.00000000E+0,
696.500,8.22618103E+1,-3.66106868E+0,
