0.002cr-35.79%
  QY = 35.79%
Labels,EmScan5,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,435.00,435.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,455.00,455.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.450,28.450,
Scan Polariser,None,None,
Scan Slit,0.22002183,0.22002183,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2000229,2.2000229,
Detector,Det 1,Det 1,

729.00,1.95880508E+1,0.00000000E+0,
730.00,1.99397888E+1,0.00000000E+0,
731.00,1.21904945E+2,0.00000000E+0,
732.00,8.28711090E+1,0.00000000E+0,
733.00,1.05902893E+2,0.00000000E+0,
734.00,8.65432968E+1,0.00000000E+0,
735.00,4.41109810E+1,0.00000000E+0,
736.00,8.97985916E+1,0.00000000E+0,
737.00,1.14701180E+2,0.00000000E+0,
738.00,2.33797073E+1,0.00000000E+0,
739.00,0.00000000E+0,0.00000000E+0,
740.00,1.21421715E+2,0.00000000E+0,
741.00,2.48718662E+1,0.00000000E+0,
742.00,7.61873703E+1,0.00000000E+0,
743.00,1.82108566E+2,0.00000000E+0,
744.00,2.11849731E+2,0.00000000E+0,
745.00,5.42997208E+1,2.69900932E+1,
746.00,8.27741776E+1,0.00000000E+0,
747.00,8.46153336E+1,0.00000000E+0,
748.00,5.76476440E+1,0.00000000E+0,
749.00,5.88850212E+1,0.00000000E+0,
750.00,1.20504944E+2,0.00000000E+0,
751.00,1.23012260E+2,0.00000000E+0,
752.00,9.44214249E+1,0.00000000E+0,
753.00,9.68132858E+1,0.00000000E+0,
754.00,9.85663834E+1,0.00000000E+0,
755.00,1.34743591E+2,0.00000000E+0,
756.00,2.75884094E+2,0.00000000E+0,
757.00,3.51698341E+1,0.00000000E+0,
758.00,1.07526505E+2,0.00000000E+0,
759.00,3.67060509E+1,0.00000000E+0,
760.00,0.00000000E+0,0.00000000E+0,
761.00,1.14775078E+2,0.00000000E+0,
762.00,3.91640663E+1,0.00000000E+0,
763.00,8.04635468E+1,0.00000000E+0,
764.00,4.10570488E+1,0.00000000E+0,
765.00,1.25403290E+2,0.00000000E+0,
766.00,8.50903931E+1,0.00000000E+0,
767.00,1.30743774E+2,0.00000000E+0,
768.00,8.94071350E+1,0.00000000E+0,
769.00,1.37164978E+2,0.00000000E+0,
770.00,1.85811401E+2,9.23984222E+1,
771.00,4.74731827E+1,0.00000000E+0,
772.00,9.73989716E+1,0.00000000E+0,
773.00,1.97855347E+2,4.94491158E+1,
774.00,5.06599731E+1,5.06930084E+1,
775.00,1.55106766E+2,0.00000000E+0,
776.00,1.05994858E+2,0.00000000E+0,
777.00,1.62446915E+2,0.00000000E+0,
778.00,2.21148209E+2,0.00000000E+0,
779.00,1.69789307E+2,0.00000000E+0,
780.00,0.00000000E+0,5.81166077E+1,
781.00,1.77350037E+2,1.18423424E+2,
782.00,1.81236984E+2,0.00000000E+0,
783.00,2.46717285E+2,0.00000000E+0,
784.00,1.26756157E+2,0.00000000E+0,
785.00,3.22415924E+2,0.00000000E+0,
786.00,3.95050812E+2,0.00000000E+0,
787.00,0.00000000E+0,1.33868683E+2,
788.00,0.00000000E+0,0.00000000E+0,
789.00,2.80480072E+2,0.00000000E+0,
790.00,7.19822083E+1,7.19295273E+1,
791.00,1.47173172E+2,0.00000000E+0,
792.00,7.48371277E+1,0.00000000E+0,
793.00,1.52375763E+2,0.00000000E+0,
794.00,7.82472916E+1,0.00000000E+0,
795.00,0.00000000E+0,0.00000000E+0,
796.00,0.00000000E+0,0.00000000E+0,
797.00,1.66102951E+2,0.00000000E+0,
798.00,1.69030960E+2,0.00000000E+0,
799.00,2.59181183E+2,0.00000000E+0,
800.00,1.76628784E+2,0.00000000E+0,
801.00,0.00000000E+0,0.00000000E+0,
802.00,3.67056610E+2,9.16384811E+1,
803.00,1.88186096E+2,0.00000000E+0,
804.00,2.87281342E+2,9.54012680E+1,
805.00,9.74915695E+1,0.00000000E+0,
806.00,1.99014236E+2,1.99195023E+2,
807.00,1.02110527E+2,0.00000000E+0,
808.00,1.03913330E+2,0.00000000E+0,
809.00,1.06165962E+2,0.00000000E+0,
810.00,4.33272552E+2,0.00000000E+0,
811.00,2.23230209E+2,1.10984024E+2,
812.00,5.67406189E+2,1.13760002E+2,
813.00,2.32323486E+2,0.00000000E+0,
814.00,9.56718201E+2,0.00000000E+0,
815.00,2.45263931E+2,0.00000000E+0,
816.00,0.00000000E+0,0.00000000E+0,
817.00,2.60403412E+2,0.00000000E+0,
818.00,5.40250305E+2,1.34129272E+2,
819.00,1.38922562E+2,0.00000000E+0,
820.00,2.88244629E+2,0.00000000E+0,
821.00,1.49155624E+2,0.00000000E+0,
822.00,1.55971893E+2,0.00000000E+0,
823.00,1.62085983E+2,0.00000000E+0,
824.00,0.00000000E+0,0.00000000E+0,
825.00,0.00000000E+0,0.00000000E+0,
826.00,3.73305206E+2,0.00000000E+0,
827.00,3.95783539E+2,1.97861084E+2,
828.00,2.10474762E+2,0.00000000E+0,
829.00,0.00000000E+0,0.00000000E+0,
830.00,2.38087128E+2,0.00000000E+0,
831.00,0.00000000E+0,2.55005768E+2,
832.00,2.74030853E+2,0.00000000E+0,
833.00,0.00000000E+0,0.00000000E+0,
834.00,3.18872467E+2,0.00000000E+0,
835.00,6.87123657E+2,0.00000000E+0,
836.00,0.00000000E+0,0.00000000E+0,
837.00,0.00000000E+0,0.00000000E+0,
838.00,4.39404205E+2,0.00000000E+0,
839.00,4.76934998E+2,0.00000000E+0,
840.00,0.00000000E+0,0.00000000E+0,
841.00,1.13923535E+3,1.13973877E+3,
842.00,0.00000000E+0,0.00000000E+0,
843.00,6.87492432E+2,0.00000000E+0,
844.00,0.00000000E+0,7.58837830E+2,
845.00,0.00000000E+0,8.27978760E+2,
846.00,9.16509521E+2,0.00000000E+0,
847.00,0.00000000E+0,0.00000000E+0,
848.00,1.11494458E+3,0.00000000E+0,
849.00,0.00000000E+0,0.00000000E+0,
850.00,4.07441724E+3,0.00000000E+0,
