Labels,NaLu2-0,
Type,Excitation Scan,
Comment,,
Start,230.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,822.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

655.00,1.60201547E+5,
656.00,1.56485578E+5,
657.00,1.54084063E+5,
658.00,1.56430203E+5,
659.00,1.56358375E+5,
660.00,1.56174750E+5,
661.00,1.56389109E+5,
662.00,1.57670844E+5,
663.00,1.56273734E+5,
664.00,1.51018969E+5,
665.00,1.52907125E+5,
666.00,1.53320094E+5,
667.00,1.49962891E+5,
668.00,1.46051609E+5,
669.00,1.49946031E+5,
670.00,1.48475922E+5,
671.00,1.46730969E+5,
672.00,1.47484063E+5,
673.00,1.45794453E+5,
674.00,1.41612391E+5,
675.00,1.41816484E+5,
676.00,1.40653344E+5,
677.00,1.39916141E+5,
678.00,1.41223203E+5,
679.00,1.40066500E+5,
680.00,1.41433734E+5,
681.00,1.42308578E+5,
682.00,1.35863188E+5,
683.00,1.37100875E+5,
684.00,1.35636703E+5,
685.00,1.34737266E+5,
686.00,1.31826750E+5,
687.00,1.28635211E+5,
688.00,1.27823266E+5,
689.00,1.27243281E+5,
690.00,1.25190813E+5,
691.00,1.25078586E+5,
692.00,1.23124930E+5,
693.00,1.27447352E+5,
694.00,1.25853859E+5,
695.00,1.27454117E+5,
696.00,1.30363867E+5,
697.00,1.30089453E+5,
698.00,1.26671461E+5,
699.00,1.28922453E+5,
700.00,1.28480633E+5,
701.00,1.24113977E+5,
702.00,1.27411547E+5,
703.00,1.20595727E+5,
704.00,1.20332211E+5,
705.00,1.15610945E+5,
706.00,1.16734000E+5,
707.00,1.09026086E+5,
708.00,1.10875234E+5,
709.00,1.07913961E+5,
710.00,1.05733063E+5,
711.00,1.07740844E+5,
712.00,1.03398453E+5,
713.00,1.00441773E+5,
714.00,9.90432500E+4,
715.00,9.85424141E+4,
716.00,9.60237656E+4,
717.00,8.79842188E+4,
718.00,8.83005938E+4,
719.00,8.74986328E+4,
720.00,8.60206563E+4,
721.00,8.67014609E+4,
722.00,8.40928984E+4,
723.00,8.06828984E+4,
724.00,8.08052969E+4,
725.00,7.68081016E+4,
726.00,7.69795703E+4,
727.00,7.71753438E+4,
728.00,7.25150078E+4,
729.00,7.04318203E+4,
730.00,6.77731797E+4,
731.00,6.74475234E+4,
732.00,6.34333047E+4,
733.00,6.27929102E+4,
734.00,6.29721328E+4,
735.00,6.12933828E+4,
736.00,5.71937148E+4,
737.00,5.71194883E+4,
738.00,5.20278711E+4,
739.00,5.28279844E+4,
740.00,5.13086133E+4,
741.00,4.95989297E+4,
742.00,4.78092422E+4,
743.00,4.33941992E+4,
744.00,4.47029648E+4,
745.00,4.43905234E+4,
746.00,4.08852656E+4,
747.00,4.38167852E+4,
748.00,3.98171055E+4,
749.00,3.90241016E+4,
750.00,3.90936680E+4,
