0.01cr-1%li2co3
  QY = 61.19%
Labels,EmScan22,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.450,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

663.00,0.00000000E+0,-7.02997398E+0,
664.00,0.00000000E+0,7.28480005E+0,
665.00,2.25206966E+1,-1.51100950E+1,
666.00,7.73076773E+0,0.00000000E+0,
667.00,3.18704662E+1,-1.59280510E+1,
668.00,2.41485291E+1,8.10572720E+0,
669.00,8.13958454E+0,0.00000000E+0,
670.00,4.07975769E+1,0.00000000E+0,
671.00,3.28812675E+1,-8.20519638E+0,
672.00,0.00000000E+0,-8.19811440E+0,
673.00,0.00000000E+0,-1.65436840E+1,
674.00,-8.25914955E+0,-1.65233040E+1,
675.00,2.47773762E+1,8.29272461E+0,
676.00,8.30144978E+0,-1.67053947E+1,
677.00,0.00000000E+0,8.38072681E+0,
678.00,3.35431290E+1,-8.44337368E+0,
679.00,1.68328400E+1,0.00000000E+0,
680.00,3.44200897E+1,-1.72530422E+1,
681.00,1.72364407E+1,-1.73574715E+1,
682.00,2.60982895E+1,-8.75555897E+0,
683.00,3.49269829E+1,-8.83845234E+0,
684.00,3.51952591E+1,0.00000000E+0,
685.00,1.77386074E+1,0.00000000E+0,
686.00,5.37718849E+1,8.95785522E+0,
687.00,3.59125443E+1,-1.81502018E+1,
688.00,6.36285820E+1,-9.12809277E+0,
689.00,3.66742096E+1,9.19760323E+0,
690.00,7.41109467E+1,-1.86196117E+1,
691.00,8.39131927E+1,0.00000000E+0,
692.00,8.48289642E+1,0.00000000E+0,
693.00,9.50303574E+1,-1.91848621E+1,
694.00,1.05897621E+2,-1.93893757E+1,
695.00,7.75768051E+1,-1.95850410E+1,
696.00,4.93174210E+1,-1.98847580E+1,
697.00,1.40434479E+2,-2.01386299E+1,
698.00,3.04966259E+1,-2.03424187E+1,
699.00,8.23467636E+1,-1.03388882E+1,
700.00,8.30352783E+1,-2.09333172E+1,
701.00,1.68338974E+2,-1.06330347E+1,
702.00,5.34926987E+1,-1.08143034E+1,
703.00,8.69555283E+1,-1.08983507E+1,
704.00,1.21195251E+2,0.00000000E+0,
705.00,1.67628540E+2,-2.25355434E+1,
706.00,1.36552612E+2,-2.28189163E+1,
707.00,1.50103546E+2,-2.31958294E+1,
708.00,1.87483032E+2,-2.35942917E+1,
709.00,1.07899078E+2,-1.19748039E+1,
710.00,1.32679596E+2,-1.21861477E+1,
711.00,1.23355659E+2,-2.48080044E+1,
712.00,1.00692482E+2,-1.25587416E+1,
713.00,1.90954071E+2,-1.27989140E+1,
714.00,6.46725845E+1,0.00000000E+0,
715.00,2.36533524E+2,-2.63780098E+1,
716.00,2.00304626E+2,-2.68927631E+1,
717.00,2.31999268E+2,-2.74124241E+1,
718.00,2.07565689E+2,1.39573441E+1,
719.00,1.69977631E+2,-2.84609756E+1,
720.00,2.16320175E+2,-1.44787092E+1,
721.00,1.61128189E+2,-2.93629246E+1,
722.00,2.70259705E+2,-1.50017900E+1,
723.00,1.22139420E+2,-1.53076830E+1,
724.00,2.65571014E+2,-1.55579996E+1,
725.00,1.42228088E+2,-1.58398485E+1,
726.00,3.22090759E+2,0.00000000E+0,
727.00,1.64645035E+2,-3.29551010E+1,
728.00,3.50713104E+2,-3.35674973E+1,
729.00,2.55828308E+2,-3.42815704E+1,
730.00,2.78119232E+2,-1.73826199E+1,
731.00,1.60028305E+2,-3.55938492E+1,
732.00,2.37317215E+2,1.82186260E+1,
733.00,1.48968307E+2,-3.72515945E+1,
734.00,3.20108307E+2,-1.90061779E+1,
735.00,1.72696487E+2,-1.93518410E+1,
736.00,2.93474060E+2,-3.94542732E+1,
737.00,1.79723755E+2,-4.02128754E+1,
738.00,2.64780548E+2,-2.04802227E+1,
739.00,5.22681213E+2,-4.19786949E+1,
740.00,2.98477356E+2,0.00000000E+0,
741.00,4.13287811E+2,-4.35690880E+1,
742.00,2.22535355E+2,-2.23048134E+1,
743.00,2.48629944E+2,-2.28622990E+1,
744.00,4.63749786E+2,-4.66925697E+1,
745.00,2.35924637E+2,-4.73518410E+1,
746.00,2.64015198E+2,-4.83096733E+1,
747.00,4.42222900E+2,0.00000000E+0,
748.00,2.26496460E+2,-2.53548317E+1,
749.00,3.08135895E+2,0.00000000E+0,
750.00,4.45593933E+2,5.29068565E+1,
751.00,4.81747742E+2,-5.39124146E+1,
752.00,4.94116089E+2,-5.53577499E+1,
753.00,1.95634750E+2,-5.62472382E+1,
754.00,2.86673492E+2,-2.86631508E+1,
755.00,3.51437286E+2,-5.89327087E+1,
756.00,2.39493973E+2,-6.02549324E+1,
757.00,3.07150391E+2,-6.15548553E+1,
758.00,3.76269684E+2,-3.12144909E+1,
759.00,3.84115387E+2,0.00000000E+0,
760.00,4.25830383E+2,-6.58889236E+1,
761.00,4.36045868E+2,-6.71115036E+1,
762.00,4.77459320E+2,-6.87590790E+1,
763.00,2.45614548E+2,-3.52416534E+1,
764.00,3.56923981E+2,0.00000000E+0,
765.00,3.27608582E+2,-7.33021927E+1,
766.00,1.86360596E+2,-7.52316132E+1,
767.00,3.45059509E+2,-7.66099777E+1,
768.00,2.73467987E+2,-7.81758118E+1,
769.00,3.57270599E+2,-7.95392227E+1,
770.00,4.46205322E+2,-8.17645645E+1,
771.00,2.91234924E+2,-8.36405792E+1,
772.00,3.37972321E+2,4.26711655E+1,
773.00,4.33428253E+2,-4.36128044E+1,
774.00,3.55508636E+2,-4.46893654E+1,
775.00,5.00168335E+2,-9.13895645E+1,
776.00,2.76863312E+2,-9.32745590E+1,
777.00,3.76683411E+2,0.00000000E+0,
778.00,1.45215469E+2,-9.75437698E+1,
779.00,3.45478790E+2,1.99272339E+2,
780.00,4.53059784E+2,0.00000000E+0,
781.00,4.13240265E+2,-1.03850197E+2,
782.00,3.68098541E+2,-5.31391258E+1,
783.00,2.16491455E+2,-5.44215431E+1,
784.00,3.31050140E+2,-5.55320778E+1,
785.00,5.62946655E+2,-1.12912857E+2,
786.00,3.46280304E+2,-5.78578300E+1,
787.00,1.76581604E+2,-5.88553619E+1,
788.00,3.59603027E+2,-1.21151611E+2,
789.00,3.07815369E+2,-6.17329178E+1,
790.00,3.76939484E+2,-6.31564980E+1,
791.00,1.92759308E+2,-1.29069321E+2,
792.00,1.96410873E+2,0.00000000E+0,
793.00,4.69590546E+2,-6.69138184E+1,
794.00,7.48138062E+2,-1.36878220E+2,
795.00,4.84739777E+2,-1.40243240E+2,
796.00,4.25272247E+2,-1.42808792E+2,
797.00,6.49806702E+2,-7.28033295E+1,
798.00,1.47671097E+2,-1.48162766E+2,
799.00,4.54713440E+2,-1.52180252E+2,
800.00,5.40425171E+2,-7.76212463E+1,
801.00,1.57404144E+2,-1.58206146E+2,
802.00,4.01404083E+2,-8.07094498E+1,
803.00,2.45831116E+2,-1.64012436E+2,
804.00,3.33298004E+2,-1.67786011E+2,
805.00,9.35346436E+2,-1.70375290E+2,
806.00,4.34549988E+2,-8.74945984E+1,
807.00,8.86098267E+2,-8.90616760E+1,
808.00,4.54803802E+2,0.00000000E+0,
809.00,9.28945236E+1,-1.85665237E+2,
810.00,2.84886444E+2,0.00000000E+0,
811.00,4.82936462E+2,-9.72780762E+1,
812.00,0.00000000E+0,-9.99388351E+1,
813.00,2.02925659E+2,-2.04432312E+2,
814.00,2.09002899E+2,-1.05005005E+2,
815.00,1.07241661E+2,-1.07968819E+2,
816.00,3.32225494E+2,-2.21852600E+2,
817.00,4.54712128E+2,-2.27838226E+2,
818.00,3.51942871E+2,-2.35820450E+2,
819.00,6.07743225E+2,-1.21192947E+2,
820.00,7.51930481E+2,1.25932518E+2,
821.00,6.51391541E+2,-2.62248505E+2,
822.00,1.35129333E+2,-2.71514374E+2,
823.00,-1.40922958E+2,0.00000000E+0,
824.00,4.42043213E+2,-1.48395996E+2,
825.00,3.11589264E+2,-3.10402649E+2,
826.00,1.64400879E+2,-3.28672974E+2,
827.00,1.73580292E+2,-3.45787842E+2,
828.00,0.00000000E+0,-1.84289078E+2,
829.00,7.77763245E+2,-3.92452637E+2,
830.00,4.16553131E+2,-2.09099091E+2,
831.00,4.44724670E+2,-4.49030945E+2,
832.00,0.00000000E+0,-4.80651031E+2,
833.00,2.55965897E+2,-5.14770874E+2,
834.00,0.00000000E+0,-5.55891296E+2,
835.00,0.00000000E+0,-6.00240906E+2,
836.00,-3.26672211E+2,-6.50900513E+2,
837.00,0.00000000E+0,-7.04525940E+2,
838.00,-3.84499664E+2,0.00000000E+0,
839.00,0.00000000E+0,-4.18515320E+2,
840.00,4.56530090E+2,0.00000000E+0,
841.00,0.00000000E+0,-5.00016052E+2,
842.00,0.00000000E+0,-5.47896912E+2,
843.00,0.00000000E+0,-5.99945374E+2,
844.00,0.00000000E+0,-6.60902649E+2,
845.00,7.23544006E+2,-1.45037732E+3,
846.00,-7.96547058E+2,0.00000000E+0,
847.00,1.75803906E+3,-1.76763037E+3,
848.00,-9.73712524E+2,-1.95051111E+3,
849.00,1.07475464E+3,-2.14871143E+3,
850.00,0.00000000E+0,-1.18385303E+3,
