0.01cr-3%NH4F-55.11%
  QY = 55.11%
Labels,EmScan27,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.90,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

764.00,4.28751923E+2,0.00000000E+0,
765.00,2.56638214E+2,-7.33021927E+1,
766.00,2.98543762E+2,-7.52316132E+1,
767.00,2.68569366E+2,-7.66099777E+1,
768.00,2.33602829E+2,-7.81758118E+1,
769.00,5.17398987E+2,-7.95392227E+1,
770.00,4.47094818E+2,-8.17645645E+1,
771.00,0.00000000E+0,-8.36405792E+1,
772.00,2.54704453E+2,4.26711655E+1,
773.00,3.93093689E+2,-4.36128044E+1,
774.00,1.33223267E+2,-4.46893654E+1,
775.00,1.81554245E+2,-9.13895645E+1,
776.00,2.78969086E+2,-9.32745590E+1,
777.00,3.31998016E+2,0.00000000E+0,
778.00,3.39442657E+2,-9.75437698E+1,
779.00,4.46142822E+2,1.99272339E+2,
780.00,2.53146896E+2,0.00000000E+0,
781.00,3.10254120E+2,-1.03850197E+2,
782.00,2.12077454E+2,-5.31391258E+1,
783.00,2.70188782E+2,-5.44215431E+1,
784.00,3.29872192E+2,-5.55320778E+1,
785.00,3.38851196E+2,-1.12912857E+2,
786.00,2.89323212E+2,-5.78578300E+1,
787.00,4.10569519E+2,-5.88553619E+1,
788.00,3.60756683E+2,-1.21151611E+2,
789.00,3.69744049E+2,-6.17329178E+1,
790.00,4.40554810E+2,-6.31564980E+1,
791.00,3.87935944E+2,-1.29069321E+2,
792.00,4.60612671E+2,0.00000000E+0,
793.00,1.33992722E+2,-6.69138184E+1,
794.00,4.76840149E+2,-1.36878220E+2,
795.00,4.17198425E+2,-1.40243240E+2,
796.00,1.41571030E+2,-1.42808792E+2,
797.00,2.90054199E+2,-7.28033295E+1,
798.00,2.22671524E+2,-1.48162766E+2,
799.00,3.02096130E+2,-1.52180252E+2,
800.00,2.31778580E+2,-7.76212463E+1,
801.00,3.14234314E+2,-1.58206146E+2,
802.00,8.02432098E+1,-8.07094498E+1,
803.00,8.19805527E+1,-1.64012436E+2,
804.00,5.01154022E+2,-1.67786011E+2,
805.00,2.55395782E+2,-1.70375290E+2,
806.00,3.47609467E+2,-8.74945984E+1,
807.00,3.56456024E+2,-8.90616760E+1,
808.00,1.81864517E+2,0.00000000E+0,
809.00,4.62576416E+2,-1.85665237E+2,
810.00,5.68167358E+2,0.00000000E+0,
811.00,7.72058228E+2,-9.72780762E+1,
812.00,7.89591858E+2,-9.99388351E+1,
813.00,5.07393280E+2,-2.04432312E+2,
814.00,4.19608215E+2,-1.05005005E+2,
815.00,2.14778488E+2,-1.07968819E+2,
816.00,1.10857864E+2,-2.21852600E+2,
817.00,1.14020508E+2,-2.27838226E+2,
818.00,4.72609589E+2,-2.35820450E+2,
819.00,7.32020203E+2,-1.21192947E+2,
820.00,2.50831573E+2,1.25932518E+2,
821.00,7.83742798E+2,-2.62248505E+2,
822.00,6.80550049E+2,-2.71514374E+2,
823.00,8.51623291E+2,0.00000000E+0,
824.00,-1.48093109E+2,-1.48395996E+2,
825.00,9.33198486E+2,-3.10402649E+2,
826.00,1.63947952E+2,-3.28672974E+2,
827.00,-1.72909119E+2,-3.45787842E+2,
828.00,0.00000000E+0,-1.84289078E+2,
829.00,3.90542542E+2,-3.92452637E+2,
830.00,6.25049316E+2,-2.09099091E+2,
831.00,2.23024612E+2,-4.49030945E+2,
832.00,0.00000000E+0,-4.80651031E+2,
833.00,-2.57119324E+2,-5.14770874E+2,
834.00,2.77438080E+2,-5.55891296E+2,
835.00,0.00000000E+0,-6.00240906E+2,
836.00,9.78022461E+2,-6.50900513E+2,
837.00,-3.53595734E+2,-7.04525940E+2,
838.00,3.84172546E+2,0.00000000E+0,
839.00,4.18691467E+2,-4.18515320E+2,
840.00,0.00000000E+0,0.00000000E+0,
841.00,-5.00481079E+2,-5.00016052E+2,
842.00,0.00000000E+0,-5.47896912E+2,
843.00,-6.02701050E+2,-5.99945374E+2,
844.00,-6.62870544E+2,-6.60902649E+2,
845.00,1.45898828E+3,-1.45037732E+3,
846.00,-8.00274536E+2,0.00000000E+0,
847.00,-8.83745972E+2,-1.76763037E+3,
848.00,-9.74893188E+2,-1.95051111E+3,
849.00,-1.07397803E+3,-2.14871143E+3,
850.00,-1.19001611E+3,-1.18385303E+3,
