0.01CR-58.97%
  QY = 58.97%
Labels,EmScan32,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,30.150,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

799.00,2.26816025E+2,-1.52180252E+2,
800.00,4.61816467E+2,-7.76212463E+1,
801.00,7.88715515E+1,-1.58206146E+2,
802.00,0.00000000E+0,-8.07094498E+1,
803.00,2.46122177E+2,-1.64012436E+2,
804.00,3.34701324E+2,-1.67786011E+2,
805.00,-8.52234344E+1,-1.70375290E+2,
806.00,1.73935364E+2,-8.74945984E+1,
807.00,3.55585480E+2,-8.90616760E+1,
808.00,3.62744934E+2,0.00000000E+0,
809.00,2.77047974E+2,-1.85665237E+2,
810.00,3.79628784E+2,0.00000000E+0,
811.00,9.75761948E+1,-9.72780762E+1,
812.00,1.99543442E+2,-9.99388351E+1,
813.00,2.03089981E+2,-2.04432312E+2,
814.00,2.09182693E+2,-1.05005005E+2,
815.00,0.00000000E+0,-1.07968819E+2,
816.00,1.10501854E+2,-2.21852600E+2,
817.00,0.00000000E+0,-2.27838226E+2,
818.00,0.00000000E+0,-2.35820450E+2,
819.00,1.20919312E+2,-1.21192947E+2,
820.00,0.00000000E+0,1.25932518E+2,
821.00,0.00000000E+0,-2.62248505E+2,
822.00,1.35059647E+2,-2.71514374E+2,
823.00,5.64532715E+2,0.00000000E+0,
824.00,1.48773056E+2,-1.48395996E+2,
825.00,-1.55869308E+2,-3.10402649E+2,
826.00,1.63882309E+2,-3.28672974E+2,
827.00,3.48160522E+2,-3.45787842E+2,
828.00,-3.68057556E+2,-1.84289078E+2,
829.00,3.91391724E+2,-3.92452637E+2,
830.00,4.16479980E+2,-2.09099091E+2,
831.00,-4.47294067E+2,-4.49030945E+2,
832.00,4.78852661E+2,-4.80651031E+2,
833.00,2.58457916E+2,-5.14770874E+2,
834.00,-5.56054504E+2,-5.55891296E+2,
835.00,-2.99141663E+2,-6.00240906E+2,
836.00,-3.25657013E+2,-6.50900513E+2,
837.00,-3.54795868E+2,-7.04525940E+2,
838.00,7.70107300E+2,0.00000000E+0,
839.00,0.00000000E+0,-4.18515320E+2,
840.00,4.55107239E+2,0.00000000E+0,
841.00,0.00000000E+0,-5.00016052E+2,
842.00,1.65051892E+3,-5.47896912E+2,
843.00,-6.00431213E+2,-5.99945374E+2,
844.00,-6.61723328E+2,-6.60902649E+2,
845.00,7.25287720E+2,-1.45037732E+3,
846.00,-1.59921838E+3,0.00000000E+0,
847.00,-1.76078357E+3,-1.76763037E+3,
848.00,1.95079749E+3,-1.95051111E+3,
849.00,2.15272754E+3,-2.14871143E+3,
850.00,0.00000000E+0,-1.18385303E+3,
