Labels,F2-1500-410-EM,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,410.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.9999912,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

1502.000,1.75732070E+4,
1503.000,1.74765625E+4,
1504.000,1.74458809E+4,
1505.000,1.75006113E+4,
1506.000,1.73578965E+4,
1507.000,1.74012109E+4,
1508.000,1.73446133E+4,
1509.000,1.73340938E+4,
1510.00,1.74125313E+4,
1511.000,1.72040117E+4,
1512.000,1.70985879E+4,
1513.000,1.72729492E+4,
1514.000,1.71903086E+4,
1515.000,1.70020996E+4,
1516.000,1.72484902E+4,
1517.000,1.70268965E+4,
1518.000,1.69178438E+4,
1519.000,1.70767148E+4,
1520.00,1.68140625E+4,
1521.000,1.69556797E+4,
1522.000,1.67788906E+4,
1523.000,1.66805234E+4,
1524.000,1.66835938E+4,
1525.000,1.67695313E+4,
1526.000,1.65385371E+4,
1527.000,1.67975586E+4,
1528.000,1.64863379E+4,
1529.000,1.64869590E+4,
1530.00,1.63457881E+4,
1531.000,1.65011328E+4,
1532.000,1.64933848E+4,
1533.000,1.63334600E+4,
1534.000,1.62747354E+4,
1535.000,1.62769180E+4,
1536.000,1.61740723E+4,
1537.000,1.62922891E+4,
