Labels,F3-1500-450=EM,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,450.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.9999912,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

1217.000,3.42079010E+2,
1218.000,3.76332306E+2,
1219.000,3.67448700E+2,
1220.00,3.45981995E+2,
1221.000,3.49322815E+2,
1222.000,3.53088776E+2,
1223.000,4.04121582E+2,
1224.000,3.86099396E+2,
1225.000,3.77081207E+2,
1226.000,4.05793396E+2,
1227.000,3.89702026E+2,
1228.000,4.18974152E+2,
1229.000,3.95555237E+2,
1230.00,4.05232056E+2,
1231.000,4.60583923E+2,
1232.000,4.93558411E+2,
1233.000,4.69067444E+2,
1234.000,4.53435303E+2,
1235.000,4.97277405E+2,
1236.000,4.86432159E+2,
1237.000,4.72323395E+2,
1238.000,4.93763947E+2,
1239.000,5.34232910E+2,
1240.00,5.22056519E+2,
1241.000,5.43435486E+2,
1242.000,5.56835938E+2,
1243.000,5.74369934E+2,
1244.000,5.78097900E+2,
1245.000,6.25091431E+2,
1246.000,5.89259827E+2,
1247.000,5.81597107E+2,
1248.000,6.04369568E+2,
1249.000,6.46319214E+2,
1250.00,6.70570862E+2,
1251.000,6.83673889E+2,
1252.000,6.57681763E+2,
1253.000,7.09308411E+2,
1254.000,6.52914490E+2,
1255.000,7.41407959E+2,
1256.000,7.23069885E+2,
1257.000,7.26497437E+2,
1258.000,7.68008484E+2,
1259.000,7.79554443E+2,
1260.00,7.33719482E+2,
1261.000,7.92364258E+2,
1262.000,8.24147034E+2,
1263.000,8.00576904E+2,
1264.000,8.86009399E+2,
1265.000,8.36702637E+2,
1266.000,8.53688232E+2,
1267.000,8.88987671E+2,
1268.000,9.42887756E+2,
1269.000,9.12182800E+2,
1270.00,9.63314514E+2,
1271.000,9.67157593E+2,
1272.000,1.01463727E+3,
1273.000,1.00325537E+3,
1274.000,1.03040552E+3,
1275.000,1.02081372E+3,
1276.000,1.09464355E+3,
1277.000,1.08903052E+3,
1278.000,1.08725330E+3,
1279.000,1.14208167E+3,
1280.00,1.18068970E+3,
1281.000,1.21478101E+3,
1282.000,1.19234644E+3,
1283.000,1.24900305E+3,
1284.000,1.23580920E+3,
1285.000,1.31272876E+3,
