0.002cr-fitted-136.66%
  QY = 136.66%
Labels,EmScan16,kongbai,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.90,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

782.00,2.12681824E+2,-5.31391258E+1,
783.00,2.15942200E+2,-5.44215431E+1,
784.00,1.66449127E+2,-5.55320778E+1,
785.00,0.00000000E+0,-1.12912857E+2,
786.00,1.72211151E+2,-5.78578300E+1,
787.00,3.52697327E+2,-5.88553619E+1,
788.00,3.00545349E+2,-1.21151611E+2,
789.00,2.45994583E+2,-6.17329178E+1,
790.00,2.52296371E+2,-6.31564980E+1,
791.00,6.44567719E+1,-1.29069321E+2,
792.00,2.61572144E+2,0.00000000E+0,
793.00,2.66462006E+2,-6.69138184E+1,
794.00,3.39203888E+2,-1.36878220E+2,
795.00,2.09007187E+2,-1.40243240E+2,
796.00,2.13062027E+2,-1.42808792E+2,
797.00,2.16868317E+2,-7.28033295E+1,
798.00,7.38045807E+1,-1.48162766E+2,
799.00,3.02249786E+2,-1.52180252E+2,
800.00,2.30818192E+2,-7.76212463E+1,
801.00,1.57287369E+2,-1.58206146E+2,
802.00,0.00000000E+0,-8.07094498E+1,
803.00,1.63395508E+2,-1.64012436E+2,
804.00,1.65951614E+2,-1.67786011E+2,
805.00,1.70170822E+2,-1.70375290E+2,
806.00,1.73285873E+2,-8.74945984E+1,
807.00,2.66561493E+2,-8.90616760E+1,
808.00,3.67308502E+2,0.00000000E+0,
809.00,1.84768890E+2,-1.85665237E+2,
810.00,4.72751251E+2,0.00000000E+0,
811.00,1.92798462E+2,-9.72780762E+1,
812.00,0.00000000E+0,-9.99388351E+1,
813.00,2.03121689E+2,-2.04432312E+2,
814.00,5.23284058E+2,-1.05005005E+2,
815.00,2.14337082E+2,-1.07968819E+2,
816.00,2.21494492E+2,-2.21852600E+2,
817.00,2.28003113E+2,-2.27838226E+2,
818.00,2.35091934E+2,-2.35820450E+2,
819.00,3.62246704E+2,-1.21192947E+2,
820.00,3.76368439E+2,1.25932518E+2,
821.00,1.30497375E+2,-2.62248505E+2,
822.00,1.35594055E+2,-2.71514374E+2,
823.00,2.83613007E+2,0.00000000E+0,
824.00,7.37519775E+2,-1.48395996E+2,
825.00,1.55706345E+2,-3.10402649E+2,
826.00,3.29933044E+2,-3.28672974E+2,
827.00,0.00000000E+0,-3.45787842E+2,
828.00,3.65462250E+2,-1.84289078E+2,
829.00,1.94355698E+2,-3.92452637E+2,
830.00,6.28202271E+2,-2.09099091E+2,
831.00,0.00000000E+0,-4.49030945E+2,
832.00,4.77877014E+2,-4.80651031E+2,
833.00,2.56137512E+2,-5.14770874E+2,
834.00,2.77682159E+2,-5.55891296E+2,
835.00,0.00000000E+0,-6.00240906E+2,
