Labels,425-EM,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1700.00,
Step,1.00,
Fixed/Offset,425.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.050,
Scan Polariser,None,
Scan Slit,3.9999883,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

1172.000,5.10865845E+2,
1173.000,4.85884155E+2,
1174.000,5.06773743E+2,
1175.000,4.97575958E+2,
1176.000,4.68262817E+2,
1177.000,4.97825836E+2,
1178.000,4.54753510E+2,
1179.000,4.97484711E+2,
1180.00,5.47163757E+2,
1181.000,4.79292725E+2,
1182.000,4.96725067E+2,
1183.000,5.13112610E+2,
1184.000,5.36869385E+2,
1185.000,5.12525696E+2,
1186.000,5.08856171E+2,
1187.000,5.18538513E+2,
1188.000,5.22596313E+2,
1189.000,4.87877167E+2,
1190.00,5.16382446E+2,
1191.000,5.57155762E+2,
1192.000,5.56130615E+2,
1193.000,4.99214172E+2,
1194.000,5.37710022E+2,
1195.000,5.33720398E+2,
1196.000,5.04000946E+2,
1197.000,5.49997314E+2,
1198.000,5.74447205E+2,
1199.000,5.82158936E+2,
1200.00,5.69211914E+2,
1201.000,5.53304993E+2,
1202.000,5.70780579E+2,
1203.000,5.88712097E+2,
1204.000,6.04014587E+2,
1205.000,5.76916809E+2,
1206.000,6.22992310E+2,
1207.000,6.17151489E+2,
1208.000,6.11066589E+2,
1209.000,6.40857239E+2,
1210.00,6.39738037E+2,
1211.000,6.50467224E+2,
1212.000,6.41324463E+2,
1213.000,6.91128174E+2,
1214.000,6.37084290E+2,
1215.000,6.87124634E+2,
1216.000,6.95496033E+2,
1217.000,6.77305359E+2,
1218.000,6.51326599E+2,
1219.000,6.76431274E+2,
1220.00,7.53540222E+2,
1221.000,7.08333740E+2,
1222.000,7.29925903E+2,
1223.000,7.88302490E+2,
1224.000,7.76127625E+2,
1225.000,8.27947510E+2,
1226.000,7.75019836E+2,
1227.000,8.41914307E+2,
1228.000,8.10883789E+2,
1229.000,8.44316406E+2,
1230.00,8.83951355E+2,
1231.000,8.80965759E+2,
1232.000,8.79402710E+2,
1233.000,9.02549683E+2,
1234.000,8.82664917E+2,
1235.000,9.38628906E+2,
1236.000,9.72699707E+2,
1237.000,9.92944885E+2,
1238.000,1.02904443E+3,
1239.000,1.05001672E+3,
1240.00,1.05762915E+3,
1241.000,1.05684741E+3,
1242.000,1.07533777E+3,
1243.000,1.09144055E+3,
1244.000,1.15749768E+3,
1245.000,1.14628308E+3,
1246.000,1.15975586E+3,
1247.000,1.17348669E+3,
1248.000,1.20251819E+3,
1249.000,1.26933313E+3,
1250.00,1.32270605E+3,
1251.000,1.30381482E+3,
1252.000,1.30127820E+3,
1253.000,1.29274536E+3,
1254.000,1.32082898E+3,
1255.000,1.42481848E+3,
1256.000,1.40944336E+3,
1257.000,1.43247583E+3,
1258.000,1.51426709E+3,
1259.000,1.47498291E+3,
1260.00,1.53448425E+3,
1261.000,1.52907593E+3,
1262.000,1.57646777E+3,
1263.000,1.62611987E+3,
1264.000,1.66670728E+3,
1265.000,1.74358447E+3,
1266.000,1.68655200E+3,
1267.000,1.76376672E+3,
1268.000,1.77873840E+3,
1269.000,1.87195520E+3,
1270.00,1.90484412E+3,
1271.000,1.93379321E+3,
1272.000,1.94826794E+3,
1273.000,2.03140381E+3,
1274.000,2.10736816E+3,
1275.000,2.12596924E+3,
1276.000,2.13950171E+3,
1277.000,2.19644702E+3,
1278.000,2.23310718E+3,
1279.000,2.34269727E+3,
1280.00,2.34262720E+3,
1281.000,2.42218384E+3,
1282.000,2.48786743E+3,
1283.000,2.46728198E+3,
1284.000,2.54442822E+3,
1285.000,2.56093164E+3,
1286.000,2.68170483E+3,
1287.000,2.66820703E+3,
1288.000,2.73222852E+3,
1289.000,2.86145215E+3,
1290.00,2.85760742E+3,
1291.000,2.95754175E+3,
1292.000,2.95017285E+3,
1293.000,3.05722314E+3,
1294.000,3.11017773E+3,
1295.000,3.21907910E+3,
1296.000,3.23494312E+3,
1297.000,3.42718555E+3,
1298.000,3.34984741E+3,
1299.000,3.49867456E+3,
1300.00,3.62140967E+3,
1301.000,3.56112646E+3,
1302.000,3.68850293E+3,
1303.000,3.83182568E+3,
1304.000,3.81966968E+3,
1305.000,3.86082178E+3,
1306.000,3.99371118E+3,
1307.000,4.06325732E+3,
1308.000,4.11365332E+3,
