Labels,800-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,780.00,
Step,1.00,
Fixed/Offset,800.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.050,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.9999883,
Detector,Det2,

733.00,2.80797656E+3,
734.00,3.40198755E+3,
735.00,2.67134619E+3,
736.00,2.80274756E+3,
737.00,3.08570068E+3,
738.00,3.07035205E+3,
739.00,3.13657153E+3,
740.00,3.07250684E+3,
741.00,2.82726489E+3,
742.00,2.56395190E+3,
743.00,2.71543774E+3,
744.00,3.32505664E+3,
745.00,2.14584473E+3,
746.00,3.06427490E+3,
747.00,3.42989209E+3,
748.00,2.27532446E+3,
749.00,2.00442029E+3,
750.00,2.53576074E+3,
751.00,2.90662036E+3,
752.00,2.55537744E+3,
753.00,3.40980835E+3,
754.00,2.04789905E+3,
755.00,1.95632031E+3,
756.00,2.89814063E+3,
757.00,3.80901709E+3,
758.00,2.85190625E+3,
759.00,1.53298169E+3,
760.00,1.79805237E+3,
761.00,2.05621924E+3,
762.00,2.58586255E+3,
763.00,2.82302148E+3,
764.00,2.30766309E+3,
765.00,2.33153174E+3,
766.00,3.22604907E+3,
767.00,3.22100415E+3,
768.00,3.58815112E+3,
769.00,3.35762817E+3,
770.00,3.67737109E+3,
771.00,3.60174146E+3,
772.00,4.75868115E+3,
773.00,4.73884180E+3,
774.00,4.94676660E+3,
775.00,4.04190503E+3,
776.00,4.62027637E+3,
777.00,4.87251758E+3,
778.00,5.90434668E+3,
779.00,6.28520313E+3,
780.00,5.66538867E+3,
