Labels,1530-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,1000.00,
Step,1.00,
Fixed/Offset,1530.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.050,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.9999883,
Detector,Det2,

769.00,1.52265029E+4,
770.00,1.51297197E+4,
771.00,1.53282246E+4,
772.00,1.48231152E+4,
773.00,1.50663848E+4,
774.00,1.46747266E+4,
775.00,1.45839219E+4,
776.00,1.45484756E+4,
777.00,1.51066621E+4,
778.00,1.42881016E+4,
779.00,1.48363633E+4,
780.00,1.40679609E+4,
781.00,1.43414697E+4,
782.00,1.50612256E+4,
783.00,1.38294990E+4,
784.00,1.40313096E+4,
785.00,1.37176992E+4,
786.00,1.38642305E+4,
787.00,1.40959316E+4,
788.00,1.40431328E+4,
789.00,1.35484063E+4,
790.00,1.30029561E+4,
791.00,1.27261768E+4,
792.00,1.38526689E+4,
793.00,1.32691396E+4,
794.00,1.34607539E+4,
795.00,1.31630313E+4,
796.00,1.32264453E+4,
797.00,1.31711045E+4,
798.00,1.30263535E+4,
799.00,1.25404932E+4,
800.00,1.26106768E+4,
801.00,1.27694316E+4,
802.00,1.27994346E+4,
803.00,1.18526104E+4,
804.00,1.25166572E+4,
805.00,1.22278965E+4,
806.00,1.22027637E+4,
807.00,1.16167969E+4,
808.00,1.27085645E+4,
809.00,1.20932832E+4,
810.00,1.17453379E+4,
811.00,1.13814707E+4,
812.00,1.12481826E+4,
813.00,1.10780205E+4,
814.00,1.08967373E+4,
815.00,1.17266074E+4,
816.00,1.04151602E+4,
817.00,1.05623047E+4,
818.00,1.03498066E+4,
819.00,1.01002969E+4,
820.00,1.04506777E+4,
821.00,1.05724707E+4,
822.00,1.06091406E+4,
823.00,1.04815127E+4,
824.00,1.02950088E+4,
825.00,1.01482139E+4,
826.00,1.01475918E+4,
827.00,1.00657588E+4,
828.00,9.68437305E+3,
829.00,9.62180566E+3,
830.00,9.31971680E+3,
831.00,9.40485059E+3,
832.00,9.55830371E+3,
833.00,9.42568848E+3,
834.00,9.01118457E+3,
835.00,8.86819238E+3,
836.00,8.96644531E+3,
837.00,8.98472266E+3,
838.00,8.45217969E+3,
839.00,8.19024463E+3,
840.00,8.64003809E+3,
841.00,8.63918652E+3,
842.00,8.01652441E+3,
843.00,8.23690039E+3,
844.00,7.91155225E+3,
845.00,8.21050879E+3,
846.00,7.65657129E+3,
847.00,8.84555371E+3,
848.00,7.47373535E+3,
849.00,7.49130811E+3,
850.00,7.01881738E+3,
851.00,6.78890088E+3,
852.00,5.95359473E+3,
853.00,6.49100146E+3,
854.00,6.01093799E+3,
855.00,6.95342627E+3,
856.00,5.74904883E+3,
857.00,5.77923340E+3,
858.00,6.26309326E+3,
859.00,5.59425586E+3,
860.00,6.20447168E+3,
861.00,4.82176758E+3,
862.00,5.82618213E+3,
863.00,4.92915918E+3,
864.00,5.08564307E+3,
865.00,4.47152832E+3,
866.00,4.35961719E+3,
867.00,4.02562427E+3,
868.00,4.32062354E+3,
869.00,3.98798608E+3,
870.00,3.92331836E+3,
871.00,3.64567310E+3,
872.00,3.68254199E+3,
873.00,3.34517944E+3,
874.00,3.55793604E+3,
875.00,3.38803491E+3,
876.00,3.36338501E+3,
877.00,3.02774658E+3,
878.00,3.06394482E+3,
879.00,2.91675879E+3,
880.00,2.87120239E+3,
881.00,2.88397314E+3,
882.00,2.73137451E+3,
883.00,2.65318188E+3,
884.00,2.52631006E+3,
885.00,2.43232861E+3,
886.00,2.21657983E+3,
887.00,2.23890308E+3,
888.00,2.35163867E+3,
889.00,2.36900635E+3,
890.00,1.92892908E+3,
891.00,2.02369653E+3,
892.00,1.92271997E+3,
893.00,1.88566687E+3,
894.00,1.79423413E+3,
895.00,1.71987866E+3,
896.00,1.71833679E+3,
897.00,1.64045337E+3,
898.00,1.54215076E+3,
899.00,1.34923499E+3,
900.00,1.43811890E+3,
901.00,1.40394080E+3,
902.00,1.61164856E+3,
903.00,1.33797461E+3,
904.00,1.22283057E+3,
905.00,1.12987524E+3,
906.00,1.16144873E+3,
907.00,1.27594666E+3,
908.00,1.23651123E+3,
909.00,1.24352966E+3,
910.00,1.12940161E+3,
911.00,9.91503662E+2,
912.00,1.06136694E+3,
913.00,1.00045660E+3,
914.00,9.90838440E+2,
915.00,8.75403809E+2,
916.00,9.45101196E+2,
917.00,9.31649109E+2,
918.00,8.63730591E+2,
919.00,8.01105591E+2,
920.00,8.13971741E+2,
921.00,8.64751648E+2,
922.00,7.13750427E+2,
923.00,8.28853577E+2,
924.00,8.36964050E+2,
925.00,9.22229675E+2,
926.00,7.60601746E+2,
927.00,9.48630371E+2,
928.00,9.47234070E+2,
929.00,8.65857056E+2,
930.00,7.74676575E+2,
931.00,9.29618835E+2,
932.00,6.82145142E+2,
933.00,6.62874146E+2,
934.00,7.45468140E+2,
935.00,6.04606018E+2,
936.00,6.91577148E+2,
937.00,6.54180420E+2,
938.00,6.67119385E+2,
939.00,6.94808655E+2,
940.00,6.75234924E+2,
941.00,5.99845886E+2,
942.00,7.38433472E+2,
943.00,6.95916748E+2,
944.00,6.14654846E+2,
945.00,7.36024048E+2,
946.00,7.01237854E+2,
947.00,7.30208435E+2,
948.00,6.95609680E+2,
949.00,6.73140991E+2,
950.00,7.17627380E+2,
951.00,7.84057495E+2,
952.00,6.48841370E+2,
953.00,7.41541138E+2,
954.00,8.92751648E+2,
955.00,8.03607239E+2,
956.00,7.21443054E+2,
957.00,7.53349731E+2,
958.00,9.68614624E+2,
959.00,8.43747314E+2,
960.00,9.90901306E+2,
961.00,1.01230560E+3,
962.00,1.08520874E+3,
963.00,6.82000061E+2,
964.00,1.08570898E+3,
965.00,8.62954346E+2,
966.00,9.40617432E+2,
967.00,8.87058289E+2,
968.00,9.95425659E+2,
969.00,1.11464526E+3,
970.00,1.02186823E+3,
971.00,1.06104248E+3,
972.00,1.03790588E+3,
973.00,1.12484167E+3,
974.00,1.08627209E+3,
975.00,1.19930615E+3,
976.00,1.19584106E+3,
977.00,1.23541943E+3,
978.00,1.21164392E+3,
979.00,1.21078601E+3,
980.00,1.34667468E+3,
981.00,1.28903943E+3,
982.00,1.28668494E+3,
983.00,1.35761206E+3,
984.00,1.43587939E+3,
985.00,1.48561462E+3,
986.00,1.41569275E+3,
987.00,1.57362451E+3,
988.00,1.65058240E+3,
989.00,1.58734619E+3,
990.00,1.64647412E+3,
991.00,1.65569849E+3,
992.00,1.66000427E+3,
993.00,1.65473267E+3,
994.00,1.64234082E+3,
995.00,1.70147522E+3,
996.00,1.62560669E+3,
997.00,1.83655420E+3,
998.00,1.83336707E+3,
999.00,1.91309717E+3,
1000.00,1.85380762E+3,
